algorithm,engine,N,repeat,TPS(tx/s),P99(ms),success_rate
HotStuff,hotstuff,40,4,720.091711,348.962000,1.000000
HotStuff,hotstuff,40,5,813.567044,402.658000,1.000000
HotStuff,hotstuff,40,6,755.424400,387.978000,1.000000
HotStuff,hotstuff,40,7,737.399774,338.579000,1.000000
HotStuff,hotstuff,40,8,806.475807,391.684000,1.000000
HotStuff,hotstuff,40,9,771.164434,341.652000,1.000000
HotStuff,hotstuff,40,10,860.197443,371.686000,1.000000
HotStuff,hotstuff,48,1,656.344727,430.288000,1.000000
HotStuff,hotstuff,48,2,671.593882,428.488000,1.000000
HotStuff,hotstuff,48,3,812.043119,436.464000,1.000000
HotStuff,hotstuff,48,4,711.175035,556.758000,1.000000
HotStuff,hotstuff,48,5,651.204934,465.436000,1.000000
HotStuff,hotstuff,48,6,603.269989,472.410000,1.000000
HotStuff,hotstuff,48,7,694.295123,475.028000,1.000000
HotStuff,hotstuff,48,8,615.134375,451.684000,0.999000
HotStuff,hotstuff,48,9,708.044153,462.513000,1.000000
HotStuff,hotstuff,48,10,668.014273,663.315000,0.977000
HotStuff,hotstuff,56,1,644.037963,1060.688000,1.000000
HotStuff,hotstuff,56,2,560.244742,717.204000,1.000000
HotStuff,hotstuff,56,3,637.248337,498.233000,0.865000
HotStuff,hotstuff,56,4,627.863134,717.541000,1.000000
HotStuff,hotstuff,56,5,557.704936,523.644000,0.942000
HotStuff,hotstuff,56,6,589.431389,522.916000,1.000000
HotStuff,hotstuff,56,7,565.667586,711.948000,1.000000
HotStuff,hotstuff,56,8,586.647965,485.341000,0.964000
HotStuff,hotstuff,56,9,578.294850,493.231000,0.862000
HotStuff,hotstuff,56,10,599.491020,507.737000,1.000000
HotStuff,hotstuff,64,1,618.005377,944.789000,1.000000
HotStuff,hotstuff,64,2,525.542385,690.576000,1.000000
HotStuff,hotstuff,64,3,557.594714,604.019000,0.804000
HotStuff,hotstuff,64,4,519.088251,921.232000,0.479000
HotStuff,hotstuff,64,5,476.075257,590.183000,0.983000
HotStuff,hotstuff,64,6,473.306442,596.643000,0.997000
HotStuff,hotstuff,64,7,626.598328,1233.685000,0.951000
HotStuff,hotstuff,64,8,631.666770,1324.221000,0.841000
HotStuff,hotstuff,64,9,487.558388,624.917000,1.000000
HotStuff,hotstuff,64,10,567.646299,621.908000,0.515000
HotStuff,hotstuff,72,1,492.588940,930.786000,0.994000
HotStuff,hotstuff,72,2,493.636227,1229.347000,0.997000
HotStuff,hotstuff,72,3,412.923405,615.859000,0.971000
HotStuff,hotstuff,72,4,605.697534,1638.477000,0.996000
HotStuff,hotstuff,72,5,603.738664,1654.643000,1.000000
HotStuff,hotstuff,72,6,426.363958,645.003000,0.978000
HotStuff,hotstuff,72,7,426.056792,890.489000,0.992000
HotStuff,hotstuff,72,8,437.206520,645.944000,1.000000
HotStuff,hotstuff,72,9,396.888090,624.515000,0.981000
HotStuff,hotstuff,72,10,529.057744,910.783000,0.914000
HotStuff,hotstuff,80,1,495.681523,1891.215000,1.000000
HotStuff,hotstuff,80,2,496.634637,1919.197000,0.955000
HotStuff,hotstuff,80,3,524.169949,1767.445000,0.931000
HotStuff,hotstuff,80,4,406.365391,691.200000,0.775000
HotStuff,hotstuff,80,5,371.093220,699.814000,0.607000
HotStuff,hotstuff,80,6,489.644604,980.364000,1.000000
HotStuff,hotstuff,80,7,473.106774,772.347000,0.752000
HotStuff,hotstuff,80,8,479.452661,730.490000,0.850000
HotStuff,hotstuff,80,9,519.869859,1158.619000,0.972000
HotStuff,hotstuff,80,10,412.729564,670.718000,0.990000
HotStuff,hotstuff,88,1,374.498839,772.897000,0.820000
HotStuff,hotstuff,88,2,346.782888,460.702000,0.876000
HotStuff,hotstuff,88,3,442.744978,1641.053000,0.730000
HotStuff,hotstuff,88,4,398.187364,859.943000,0.951000
HotStuff,hotstuff,88,5,343.464822,1332.722000,0.459000
HotStuff,hotstuff,88,6,422.295813,1526.883000,0.649000
HotStuff,hotstuff,88,7,343.806309,775.595000,0.913000
HotStuff,hotstuff,88,8,379.044193,1687.612000,0.642000
HotStuff,hotstuff,88,9,341.000369,1333.290000,0.459000
HotStuff,hotstuff,88,10,394.213124,1144.029000,0.914000
HotStuff,hotstuff,96,1,307.201650,942.248000,0.754000
HotStuff,hotstuff,96,2,319.348703,1347.486000,0.805000
HotStuff,hotstuff,96,3,426.313669,2326.909000,0.998000
HotStuff,hotstuff,96,4,405.655026,2456.460000,0.998000
HotStuff,hotstuff,96,5,401.779022,1443.455000,0.992000
HotStuff,hotstuff,96,6,363.477785,861.834000,0.885000
HotStuff,hotstuff,96,7,422.064885,1673.623000,0.860000
HotStuff,hotstuff,96,8,367.449673,987.915000,0.607000
HotStuff,hotstuff,96,9,356.372511,1299.005000,0.993000
HotStuff,hotstuff,96,10,369.478037,963.008000,0.850000
Raft,raft,8,1,2059.209647,133.977000,0.978000
Raft,raft,8,2,2434.435666,133.616000,0.997000
Raft,raft,8,3,2091.658898,109.346000,0.974000
Raft,raft,8,4,2114.636213,144.028000,0.996000
Raft,raft,8,5,2181.573760,151.416000,0.999000
Raft,raft,8,6,2166.707761,120.217000,0.993000
Raft,raft,8,7,2063.838623,123.556000,0.988000
Raft,raft,8,8,2318.074728,136.711000,0.997000
Raft,raft,8,9,1833.594054,139.234000,0.969000
Raft,raft,8,10,2194.698731,117.242000,0.993000
Raft,raft,16,1,1864.591944,179.606000,0.993000
Raft,raft,16,2,1910.446340,182.403000,0.995000
Raft,raft,16,3,1750.937699,201.562000,0.989000
Raft,raft,16,4,1841.999921,171.238000,0.999000
Raft,raft,16,5,1729.865342,158.802000,0.994000
Raft,raft,16,6,1738.609134,190.262000,0.993000
Raft,raft,16,7,1754.839744,185.779000,0.998000
Raft,raft,16,8,1661.602259,199.040000,0.995000
Raft,raft,16,9,1982.820920,190.801000,0.985000
Raft,raft,16,10,2042.247331,195.710000,0.999000
Raft,raft,24,1,1604.594736,324.912000,0.998000
Raft,raft,24,2,1332.402450,244.642000,0.988000
Raft,raft,24,3,1610.776645,293.592000,0.998000
Raft,raft,24,4,1651.820806,222.829000,0.912000
Raft,raft,24,5,1803.924780,222.448000,0.965000
Raft,raft,24,6,1744.850588,230.841000,0.975000
Raft,raft,24,7,1335.557910,240.239000,0.987000
Raft,raft,24,8,1730.456080,256.540000,0.985000
Raft,raft,24,9,1625.638108,229.424000,0.987000
Raft,raft,24,10,1405.687853,243.283000,0.998000
Raft,raft,32,1,1757.835341,325.882000,0.962000
Raft,raft,32,2,1500.099515,331.123000,0.967000
Raft,raft,32,3,1278.567921,353.221000,0.982000
Raft,raft,32,4,1296.074773,299.468000,0.993000
Raft,raft,32,5,1341.469514,368.595000,0.995000
Raft,raft,32,6,1552.346593,314.360000,0.974000
Raft,raft,32,7,1509.690296,322.892000,0.993000
Raft,raft,32,8,1387.615663,309.316000,0.991000
Raft,raft,32,9,1280.624144,325.932000,0.998000
Raft,raft,32,10,1480.699035,310.629000,0.979000
Raft,raft,40,1,1125.718313,393.638000,0.991000
Raft,raft,40,2,1294.069119,338.631000,0.976000
Raft,raft,40,3,1286.410714,404.555000,0.924000
Raft,raft,40,4,1107.940529,487.959000,0.960000
Raft,raft,40,5,1087.356534,339.231000,0.965000
Raft,raft,40,6,1433.616065,434.443000,0.983000
Raft,raft,40,7,887.860061,499.807000,0.967000
Raft,raft,40,8,1178.823006,403.192000,0.955000
Raft,raft,40,9,1223.835721,427.554000,0.990000
Raft,raft,40,10,1483.234315,298.375000,0.996000
Raft,raft,48,1,1236.529230,479.537000,0.986000
Raft,raft,48,2,1056.412302,395.035000,0.922000
Raft,raft,48,3,895.993237,513.355000,0.953000
Raft,raft,48,4,1004.466998,464.057000,0.959000
Raft,raft,48,5,882.821402,624.177000,0.886000
Raft,raft,48,6,959.937588,504.969000,0.913000
Raft,raft,48,7,945.433694,464.163000,0.921000
Raft,raft,48,8,1037.889333,501.771000,0.961000
Raft,raft,48,9,965.536003,574.725000,0.959000
Raft,raft,48,10,983.728281,595.543000,0.876000
Raft,raft,56,1,875.524447,624.825000,0.933000
Raft,raft,56,2,794.023611,583.839000,0.989000
Raft,raft,56,3,744.200908,708.530000,0.859000
Raft,raft,56,4,731.369283,604.580000,0.899000
Raft,raft,56,5,823.431383,534.912000,0.915000
Raft,raft,56,6,740.775344,587.441000,0.823000
Raft,raft,56,7,1111.042851,502.077000,0.935000
Raft,raft,56,8,937.235680,423.440000,0.892000
Raft,raft,56,9,729.159890,617.387000,0.835000
Raft,raft,56,10,1042.067711,542.961000,0.871000
Raft,raft,64,1,627.118340,770.465000,0.842000
Raft,raft,64,2,534.840008,729.948000,0.838000
Raft,raft,64,3,690.978215,655.391000,0.711000
Raft,raft,64,4,659.160916,768.494000,0.835000
Raft,raft,64,5,633.706352,818.099000,0.869000
Raft,raft,64,6,553.790570,586.184000,0.813000
